name,college,research_domain,subdomain
Dr. Sharma,IITM,AI,Computer Vision
Ms. Rao,IIST,Cybersecurity,Cryptography
Mr. Verma,PESU,Healthcare,Bioinformatics
Dr. Iyer,IISc Bangalore,AI,Natural Language Processing
Prof. Menon,CMC Vellore,Healthcare,Medical Imaging
Dr. Kulkarni,IIT Bombay,Cybersecurity,Network Security
Dr. Banerjee,IIT Delhi,AI,Reinforcement Learning
Mr. Thomas,DRDO,Robotics,Autonomous Systems
Dr. Nandakumar,IIT Kanpur,Healthcare,Biomedical Signal Processing
Prof. Sengupta,IIT Kharagpur,AI,Machine Learning Systems
Dr. Patel,IIT Gandhinagar,Cybersecurity,Cloud Security
Dr. Fernandez,ISI Kolkata,Robotics,Human Robot Interaction
